iter	Logloss
0	0.6268253581
1	0.5726514042
2	0.5311727628
3	0.5023258094
4	0.4753340658
5	0.4515140048
6	0.4341763583
7	0.4216040039
8	0.4081426817
9	0.3965416371
10	0.3881847035
11	0.3796443685
12	0.3751258804
13	0.3702419212
14	0.3656841856
15	0.3616773941
16	0.357549346
17	0.3532596103
18	0.3500342537
19	0.3451526249
20	0.3413840924
21	0.3394051107
22	0.3354651249
23	0.3335083008
24	0.3314707623
25	0.329041785
26	0.3263566821
27	0.3238260905
28	0.3221942324
29	0.3205478738
30	0.3196613844
31	0.3178832638
32	0.316081432
33	0.3137781871
34	0.3119014856
35	0.3102963904
36	0.3088279955
37	0.3076732659
38	0.3060955811
39	0.3045202267
40	0.3027174146
41	0.30077916
42	0.299109682
43	0.2977491529
44	0.2964858176
45	0.2953852983
46	0.2942368386
47	0.2930010801
48	0.2910977635
49	0.2895555531
50	0.288036462
51	0.2870112934
52	0.2859568278
53	0.2851923532
54	0.28387945
55	0.2831962077
56	0.2817950994
57	0.2798797053
58	0.2792284416
59	0.2782836914
60	0.2768919604
61	0.275423547
62	0.2743016468
63	0.2734532582
64	0.2722745398
65	0.2710909017
66	0.2698383678
67	0.2680586196
68	0.2665776293
69	0.2659690163
70	0.2645705899
71	0.2627281235
72	0.2612183172
73	0.2602008057
74	0.2586852842
75	0.2579680657
76	0.2566840154
77	0.2555229048
78	0.2543828606
79	0.2534732148
80	0.2518331447
81	0.2507585745
82	0.2497598174
83	0.2485705566
84	0.2468762392
85	0.2458617239
86	0.2449025657
87	0.2437016897
88	0.2412800367
89	0.2402648186
90	0.2393095999
91	0.2370377974
92	0.2362573612
93	0.2345611757
94	0.2333076986
95	0.2316374808
96	0.230575839
97	0.2288863858
98	0.2273649458
99	0.2260250947
100	0.2241617099
101	0.2232178844
102	0.2220950965
103	0.2209797992
104	0.2191065933
105	0.217738407
106	0.216657271
107	0.2152325994
108	0.2138087602
109	0.2129241943
110	0.2113022313
111	0.2089744429
112	0.2080576579
113	0.2066108472
114	0.2057333467
115	0.2045473966
116	0.2033558794
117	0.2025579094
118	0.2012531627
119	0.2002023778
120	0.1988901959
121	0.1979111735
122	0.1969170033
123	0.1959592877
124	0.1949021218
125	0.1938313247
126	0.1931275339
127	0.1926866566
128	0.191891498
129	0.1907935865
130	0.1897669567
131	0.1890108975
132	0.1882655288
133	0.1876357385
134	0.1869678104
135	0.1861763879
136	0.1851771869
137	0.1842236698
138	0.183351052
139	0.1822379557
140	0.1812305797
141	0.1804748905
142	0.1795614347
143	0.178599983
144	0.1779462965
145	0.1774900124
146	0.176572876
147	0.1758186479
148	0.1749633789
149	0.1743534157
150	0.1734201327
151	0.1724852591
152	0.1717798591
153	0.1714407256
154	0.1707261889
155	0.1701131185
156	0.1695359109
157	0.1684929125
158	0.1679936449
159	0.1674912516
160	0.1666786148
161	0.165947913
162	0.1649357281
163	0.1642916593
164	0.1639691717
165	0.1633372174
166	0.1629054029
167	0.1619711766
168	0.1609320438
169	0.1603342877
170	0.1597578384
171	0.1592314009
172	0.1588482481
173	0.1582259854
174	0.1578233939
175	0.1573884351
176	0.1565632953
177	0.1559029134
178	0.1552748801
179	0.1546121771
180	0.1534300278
181	0.1523487993
182	0.151437119
183	0.1506726814
184	0.1502179787
185	0.1499090299
186	0.1494754306
187	0.148793076
188	0.1477408207
189	0.1470764623
190	0.1465790165
191	0.1456154008
192	0.1449715077
193	0.1445616289
194	0.1439768103
195	0.1432617835
196	0.1427342455
197	0.142049912
198	0.1413500607
199	0.1406658566
